DATE,TMAX_C,ANOMALY_TYPE,Z_SCORE,PRCP_MM,TEMP_RANGE
1892-12-27,8.9,TMAX_C_STATISTICAL,3.057383872486383,,
1893-01-16,5.0,TMAX_C_STATISTICAL,3.732715866138537,,
1893-01-17,7.8,TMAX_C_STATISTICAL,3.247862127106221,,
1892-05-21,,PRCP_MM_STATISTICAL,3.8721042132049774,45.7,
1892-06-18,,PRCP_MM_STATISTICAL,3.7347375480607816,44.2,
1892-07-05,,PRCP_MM_STATISTICAL,5.364821974438571,62.0,
1892-08-03,,PRCP_MM_STATISTICAL,3.9911553229966135,47.0,
1892-08-05,,PRCP_MM_STATISTICAL,4.549779761249677,53.1,
1892-08-09,,PRCP_MM_STATISTICAL,3.569897549887746,42.4,
1893-02-12,,PRCP_MM_STATISTICAL,6.665226404470292,76.2,
1893-02-26,,PRCP_MM_STATISTICAL,5.035141978092501,58.4,
1893-06-01,,PRCP_MM_STATISTICAL,3.386741996362152,40.4,
1893-06-07,,PRCP_MM_STATISTICAL,5.035141978092501,58.4,
1893-07-06,,PRCP_MM_STATISTICAL,3.3409531079807535,39.9,
1893-07-27,,PRCP_MM_STATISTICAL,11.54632190592738,129.5,
1893-07-28,,PRCP_MM_STATISTICAL,3.176113109807719,38.1,
1893-08-16,,PRCP_MM_STATISTICAL,4.293361986313844,50.3,
1894-01-29,,PRCP_MM_STATISTICAL,4.009470878349173,47.2,
1895-04-08,,PRCP_MM_STATISTICAL,4.3391508746952425,50.8,
1895-06-27,,PRCP_MM_STATISTICAL,3.057062000016082,36.8,
1895-07-04,,PRCP_MM_STATISTICAL,3.597370882916586,42.7,
1895-07-15,,PRCP_MM_STATISTICAL,4.155995321169648,48.8,
1895-07-18,,PRCP_MM_STATISTICAL,4.064417544406851,47.8,
1895-08-07,,PRCP_MM_STATISTICAL,3.1028508883974806,37.3,
1895-09-05,,PRCP_MM_STATISTICAL,3.9636819899677747,46.7,
1895-09-12,,PRCP_MM_STATISTICAL,4.293361986313844,50.3,
1896-05-01,,PRCP_MM_STATISTICAL,3.4050575517147115,40.6,
1896-06-03,,PRCP_MM_STATISTICAL,3.4050575517147115,40.6,
1896-06-16,,PRCP_MM_STATISTICAL,3.176113109807719,38.1,
1896-06-26,,PRCP_MM_STATISTICAL,3.4050575517147115,40.6,
1896-11-04,,PRCP_MM_STATISTICAL,3.4050575517147115,40.6,
1897-02-05,,PRCP_MM_STATISTICAL,3.4050575517147115,40.6,
1897-02-12,,PRCP_MM_STATISTICAL,4.3391508746952425,50.8,
1897-04-09,,PRCP_MM_STATISTICAL,4.568095316602236,53.3,
1897-06-20,,PRCP_MM_STATISTICAL,5.035141978092501,58.4,
1897-07-10,,PRCP_MM_STATISTICAL,3.6431597712979844,43.2,
1897-07-11,,PRCP_MM_STATISTICAL,3.176113109807719,38.1,
1897-07-12,,PRCP_MM_STATISTICAL,8.991301934245339,101.6,
1897-08-09,,PRCP_MM_STATISTICAL,8.991301934245339,101.6,
1897-09-06,,PRCP_MM_STATISTICAL,6.665226404470292,76.2,
1897-09-11,,PRCP_MM_STATISTICAL,4.3391508746952425,50.8,
1897-09-20,,PRCP_MM_STATISTICAL,13.643452993795437,152.4,
1897-09-21,,PRCP_MM_STATISTICAL,3.176113109807719,38.1,
1892-05-24,,TEMP_RANGE_STATISTICAL,4.117238814268919,,23.3
1893-04-01,,TEMP_RANGE_STATISTICAL,3.0481083939898177,,19.5
