,STATION,DATE,LATITUDE,LONGITUDE,NAME,PRCP,PRCP_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
0,USC00086700,03-16-1892,28.933333,-82.033333,OXFORD FL US,null,null,256.0,6,89.0,6
1,USC00086700,03-17-1892,28.933333,-82.033333,OXFORD FL US,null,null,267.0,6,null,null
2,USC00086700,03-18-1892,28.933333,-82.033333,OXFORD FL US,28.0,6,189.0,6,11.0,6
3,USC00086700,03-19-1892,28.933333,-82.033333,OXFORD FL US,null,null,100.0,6,0.0,6
4,USC00086700,03-20-1892,28.933333,-82.033333,OXFORD FL US,null,null,194.0,6,11.0,6
5,USC00086700,03-21-1892,28.933333,-82.033333,OXFORD FL US,null,null,211.0,6,56.0,6
6,USC00086700,03-22-1892,28.933333,-82.033333,OXFORD FL US,null,null,250.0,6,100.0,6
7,USC00086700,03-23-1892,28.933333,-82.033333,OXFORD FL US,null,null,267.0,6,122.0,6
8,USC00086700,03-24-1892,28.933333,-82.033333,OXFORD FL US,null,null,294.0,6,111.0,6
9,USC00086700,03-25-1892,28.933333,-82.033333,OXFORD FL US,null,null,294.0,6,211.0,6
10,USC00086700,03-26-1892,28.933333,-82.033333,OXFORD FL US,25.0,6,267.0,6,200.0,6
11,USC00086700,03-27-1892,28.933333,-82.033333,OXFORD FL US,null,null,322.0,6,144.0,6
12,USC00086700,03-28-1892,28.933333,-82.033333,OXFORD FL US,null,null,228.0,6,106.0,6
13,USC00086700,03-29-1892,28.933333,-82.033333,OXFORD FL US,null,null,250.0,6,78.0,6
14,USC00086700,03-30-1892,28.933333,-82.033333,OXFORD FL US,null,null,244.0,6,144.0,6
15,USC00086700,03-31-1892,28.933333,-82.033333,OXFORD FL US,null,null,278.0,6,172.0,6
16,USC00086700,04-01-1892,28.933333,-82.033333,OXFORD FL US,null,null,294.0,6,183.0,6
17,USC00086700,04-02-1892,28.933333,-82.033333,OXFORD FL US,null,null,294.0,6,200.0,6
18,USC00086700,04-03-1892,28.933333,-82.033333,OXFORD FL US,null,null,283.0,6,200.0,6
19,USC00086700,04-04-1892,28.933333,-82.033333,OXFORD FL US,null,null,283.0,6,206.0,6
20,USC00086700,04-05-1892,28.933333,-82.033333,OXFORD FL US,null,null,278.0,6,222.0,6
21,USC00086700,04-06-1892,28.933333,-82.033333,OXFORD FL US,null,null,294.0,6,217.0,6
22,USC00086700,04-07-1892,28.933333,-82.033333,OXFORD FL US,48.0,6,306.0,6,211.0,6
23,USC00086700,04-08-1892,28.933333,-82.033333,OXFORD FL US,null,null,256.0,6,178.0,6
24,USC00086700,04-09-1892,28.933333,-82.033333,OXFORD FL US,null,null,228.0,6,172.0,6
25,USC00086700,04-10-1892,28.933333,-82.033333,OXFORD FL US,null,null,211.0,6,111.0,6
26,USC00086700,04-11-1892,28.933333,-82.033333,OXFORD FL US,null,null,283.0,6,161.0,6
27,USC00086700,04-12-1892,28.933333,-82.033333,OXFORD FL US,null,null,267.0,6,161.0,6
28,USC00086700,04-13-1892,28.933333,-82.033333,OXFORD FL US,null,null,278.0,6,161.0,6
29,USC00086700,04-14-1892,28.933333,-82.033333,OXFORD FL US,null,null,278.0,6,178.0,6
30,USC00086700,04-15-1892,28.933333,-82.033333,OXFORD FL US,null,null,233.0,6,133.0,6
